x_real, y_real, speed, time
-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.023
-183.800, 80.200, 0.000,  0.056
-183.800, 80.200, 0.000,  0.089
-183.800, 80.200, -0.011,  0.122
-183.800, 80.199, 0.037,  0.155
-183.800, 80.197, 0.035,  0.188
-183.799, 80.195, 0.051,  0.221
-183.797, 80.191, 0.132,  0.254
-183.794, 80.184, 0.236,  0.287
-183.789, 80.173, 0.325,  0.320
-183.783, 80.161, 0.380,  0.353
-183.774, 80.145, 0.516,  0.386
-183.760, 80.124, 0.658,  0.419
-183.743, 80.100, 0.763,  0.452
-183.722, 80.072, 0.873,  0.485
-183.699, 80.041, 0.978,  0.518
-183.673, 80.009, 1.056,  0.551
-183.645, 79.975, 1.129,  0.584
-183.615, 79.940, 1.189,  0.617
-183.583, 79.903, 1.237,  0.650
-183.550, 79.867, 1.278,  0.683
-183.515, 79.830, 1.321,  0.716
-183.478, 79.792, 1.370,  0.749
-183.441, 79.753, 1.418,  0.782
-183.403, 79.714, 1.460,  0.815
-183.364, 79.674, 1.496,  0.848
-183.325, 79.633, 1.524,  0.881
-183.286, 79.592, 1.547,  0.914
-183.246, 79.552, 1.565,  0.947
-183.206, 79.511, 1.579,  0.980
-183.166, 79.470, 1.590,  1.013
-183.125, 79.430, 1.598,  1.046
-183.085, 79.389, 1.604,  1.079
-183.044, 79.349, 1.609,  1.112
-183.004, 79.309, 1.612,  1.145
-182.963, 79.270, 1.615,  1.178
-182.922, 79.230, 1.617,  1.211
-182.881, 79.191, 1.619,  1.244
-182.840, 79.152, 1.621,  1.277
-182.799, 79.113, 1.623,  1.310
-182.758, 79.074, 1.626,  1.343
-182.717, 79.036, 1.628,  1.376
-182.676, 78.997, 1.631,  1.409
-182.634, 78.959, 1.634,  1.442
-182.593, 78.921, 1.637,  1.475
-182.552, 78.883, 1.641,  1.508
-182.510, 78.844, 1.644,  1.541
-182.469, 78.806, 1.648,  1.574
-182.428, 78.768, 1.651,  1.607
-182.387, 78.730, 1.655,  1.640
-182.345, 78.692, 1.659,  1.673
-182.304, 78.653, 1.663,  1.706
-182.263, 78.615, 1.667,  1.739
-182.222, 78.576, 1.671,  1.772
-182.181, 78.537, 1.675,  1.805
-182.141, 78.498, 1.679,  1.838
-182.100, 78.458, 1.683,  1.871
-182.060, 78.419, 1.687,  1.904
-182.020, 78.378, 1.690,  1.937
-181.981, 78.338, 1.694,  1.970
-181.942, 78.297, 1.698,  2.003
-181.903, 78.256, 1.701,  2.036
-181.865, 78.214, 1.704,  2.069
-181.827, 78.171, 1.707,  2.102
